aX,aY,aZ,gX,gY,gZ
-1877.00,2448.00,7215.00,2561.00,646.00,1175.00
-1894.00,2654.00,8051.00,2258.00,200.00,1373.00
-2080.00,2708.00,8664.00,1585.00,-656.00,1773.00
-3179.00,2619.00,9454.00,1369.00,-966.00,1885.00
-3711.00,2643.00,9590.00,1274.00,-1233.00,1852.00
-4471.00,2578.00,9726.00,1372.00,-1154.00,1716.00
-4608.00,2461.00,9949.00,1507.00,-961.00,1477.00
-4446.00,2423.00,10108.00,1896.00,-269.00,747.00
-3775.00,2961.00,10904.00,2189.00,46.00,434.00
-3844.00,3461.00,12273.00,2589.00,59.00,169.00
-4356.00,3804.00,15407.00,2417.00,-159.00,132.00
-4362.00,3541.00,16185.00,2012.00,-365.00,96.00
-4333.00,3201.00,16257.00,1121.00,-449.00,-26.00
-3982.00,3131.00,15608.00,898.00,-328.00,-130.00
-3916.00,3285.00,15904.00,842.00,61.00,-318.00
-4647.00,3964.00,17728.00,679.00,68.00,-321.00
-4771.00,4281.00,18481.00,-269.00,-361.00,-268.00
-4313.00,4312.00,17887.00,-934.00,-551.00,-272.00
-3963.00,4037.00,16558.00,-1570.00,-649.00,-291.00
-3489.00,3610.00,14869.00,-2356.00,-704.00,-302.00
-2672.00,2851.00,12180.00,-2430.00,-713.00,-235.00
-2522.00,2688.00,11562.00,-2352.00,-675.00,-38.00
-2280.00,2569.00,10705.00,-2376.00,-647.00,49.00
-2194.00,2517.00,10146.00,-2452.00,-662.00,148.00
-2105.00,2536.00,9520.00,-2641.00,-819.00,349.00
-1666.00,2707.00,8467.00,-2686.00,-882.00,384.00
-1261.00,2665.00,8055.00,-2749.00,-900.00,294.00
-283.00,2055.00,7056.00,-2832.00,-905.00,257.00
75.00,1673.00,6448.00,-2944.00,-943.00,286.00
297.00,1375.00,5841.00,-3092.00,-1000.00,441.00
517.00,1051.00,4728.00,-3078.00,-880.00,447.00
428.00,865.00,4217.00,-2878.00,-326.00,226.00
97.00,336.00,3368.00,-2709.00,-37.00,93.00
93.00,51.00,2954.00,-2224.00,439.00,-156.00
178.00,-948.00,1551.00,-1943.00,642.00,-262.00
194.00,-1586.00,574.00,-1649.00,789.00,-311.00
181.00,-2169.00,-370.00,-958.00,868.00,-249.00
139.00,-2680.00,-1213.00,-556.00,832.00,-183.00
-84.00,-2560.00,-1024.00,168.00,728.00,3.00
-888.00,-2302.00,-41.00,372.00,576.00,119.00
-1226.00,-2485.00,-73.00,428.00,262.00,267.00
-1255.00,-2634.00,-598.00,396.00,-750.00,668.00
-640.00,-2774.00,-1581.00,556.00,-1063.00,733.00
-527.00,-2781.00,-1643.00,1464.00,-776.00,388.00
-784.00,-1568.00,77.00,2070.00,-463.00,135.00
-831.00,-657.00,1645.00,2592.00,-207.00,-96.00
-764.00,72.00,3416.00,3085.00,-56.00,-315.00
-363.00,864.00,6334.00,3057.00,-88.00,-295.00
-141.00,1127.00,7085.00,2859.00,-66.00,-137.00
254.00,1675.00,7457.00,2795.00,31.00,-63.00
414.00,2018.00,7419.00,2807.00,179.00,-19.00
356.00,2488.00,7701.00,3000.00,340.00,34.00
-356.00,3588.00,9829.00,2968.00,207.00,84.00
-586.00,3710.00,10962.00,2269.00,-366.00,212.00
-239.00,3025.00,11289.00,1749.00,-633.00,288.00
-160.00,2696.00,10775.00,1103.00,-899.00,429.00
-859.00,2786.00,10730.00,1112.00,-920.00,446.00
-1249.00,3010.00,11386.00,1211.00,-919.00,425.00
-1437.00,3216.00,12222.00,1267.00,-972.00,344.00
-1336.00,3088.00,13340.00,1197.00,-968.00,273.00
-1183.00,2696.00,13408.00,1144.00,-798.00,24.00
-1162.00,2084.00,13818.00,1208.00,-692.00,-144.00
-1149.00,2129.00,14694.00,1287.00,-615.00,-302.00
-990.00,2351.00,15810.00,1102.00,-490.00,-480.00
-589.00,2679.00,17323.00,761.00,-394.00,-509.00
-500.00,2677.00,17312.00,-255.00,-289.00,-434.00
-588.00,2395.00,15964.00,-827.00,-302.00,-388.00
-490.00,2176.00,15183.00,-1291.00,-302.00,-362.00
-326.00,2040.00,14706.00,-1710.00,-148.00,-295.00
177.00,1714.00,14314.00,-1780.00,-41.00,-256.00
291.00,1556.00,14026.00,-1939.00,151.00,-116.00
229.00,1527.00,12966.00,-2125.00,163.00,-33.00
279.00,1456.00,12165.00,-2370.00,116.00,26.00
399.00,1220.00,11358.00,-2688.00,-27.00,147.00
659.00,499.00,10360.00,-2701.00,-102.00,298.00
727.00,343.00,10113.00,-2757.00,-375.00,773.00
714.00,598.00,9266.00,-2907.00,-578.00,993.00
656.00,516.00,8330.00,-3205.00,-971.00,1244.00
544.00,-120.00,6073.00,-3243.00,-1174.00,1377.00
557.00,-319.00,5465.00,-3087.00,-1289.00,1476.00
763.00,-549.00,5158.00,-2208.00,-1187.00,1298.00
1245.00,-711.00,5957.00,-1794.00,-989.00,1109.00
1313.00,-398.00,6116.00,-1551.00,-524.00,783.00
1290.00,-670.00,5560.00,-1539.00,-406.00,696.00
1103.00,-972.00,5022.00,-1483.00,-261.00,661.00
791.00,-1118.00,4716.00,-1121.00,167.00,493.00
550.00,-1214.00,4319.00,-937.00,339.00,329.00
497.00,-1363.00,4049.00,-697.00,526.00,42.00
274.00,-1746.00,3382.00,-705.00,645.00,-5.00
-6.00,-1837.00,2879.00,-769.00,796.00,-16.00
-444.00,-1874.00,2276.00,-670.00,998.00,-176.00
-1313.00,-2063.00,633.00,-427.00,1016.00,-382.00
-1098.00,-2190.00,-94.00,454.00,906.00,-797.00
47.00,-2305.00,6.00,950.00,898.00,-893.00
423.00,-1897.00,463.00,1335.00,937.00,-912.00
336.00,-1944.00,786.00,1548.00,1040.00,-858.00
-61.00,-2698.00,434.00,1582.00,892.00,-767.00
-74.00,-2016.00,1037.00,1972.00,453.00,-438.00
-233.00,-708.00,2345.00,2067.00,354.00,-374.00
-188.00,-519.00,2472.00,2088.00,317.00,-400.00
-104.00,-289.00,2656.00,2357.00,354.00,-500.00
238.00,390.00,3951.00,2616.00,393.00,-514.00
456.00,742.00,5074.00,2948.00,276.00,-322.00
511.00,1281.00,7334.00,2836.00,60.00,-117.00
372.00,1567.00,7990.00,2243.00,-399.00,230.00
26.00,2041.00,7965.00,2049.00,-527.00,285.00
177.00,2238.00,8018.00,2018.00,-571.00,259.00
463.00,2329.00,8366.00,2241.00,-308.00,96.00
533.00,2522.00,9824.00,2335.00,-60.00,40.00
176.00,2829.00,10596.00,2164.00,166.00,56.00
110.00,3169.00,11196.00,1943.00,37.00,84.00
410.00,3118.00,11174.00,1712.00,-150.00,88.00
486.00,2937.00,11117.00,1401.00,-260.00,17.00
114.00,2240.00,11491.00,1342.00,-195.00,2.00
75.00,1993.00,12148.00,1326.00,-138.00,166.00
483.00,1987.00,13884.00,1297.00,-116.00,263.00
530.00,2032.00,14383.00,1213.00,-68.00,338.00
251.00,2070.00,14441.00,910.00,43.00,447.00
-714.00,2053.00,14102.00,782.00,164.00,403.00
-880.00,1922.00,14379.00,721.00,633.00,159.00
-2075.00,2458.00,15591.00,605.00,749.00,80.00
-2826.00,2943.00,13959.00,445.00,609.00,-14.00
-2838.00,3203.00,11139.00,1341.00,-18.00,-477.00
-958.00,3513.00,9673.00,2178.00,-14.00,-601.00
-536.00,4150.00,11204.00,2496.00,445.00,-384.00
1454.00,5205.00,21903.00,1305.00,863.00,-222.00
3232.00,4099.00,24162.00,-4359.00,187.00,1245.00
-1468.00,3585.00,9975.00,-6428.00,-586.00,1790.00
