aX,aY,aZ,gX,gY,gZ
1213.00,754.00,8279.00,-1281.00,-1137.00,2603.00
1290.00,-378.00,8570.00,-1550.00,661.00,2532.00
757.00,-1876.00,9593.00,-1832.00,1722.00,2571.00
-381.00,-1054.00,10237.00,-2437.00,3256.00,2193.00
-2858.00,2296.00,10255.00,-2741.00,3053.00,1862.00
-1993.00,2706.00,8985.00,-2977.00,2082.00,1395.00
-1110.00,2643.00,7918.00,-2717.00,962.00,-117.00
-683.00,820.00,7709.00,-2342.00,1438.00,-783.00
-345.00,-1023.00,8360.00,-1938.00,3309.00,-1221.00
-1419.00,-2814.00,10285.00,-2038.00,4149.00,-1284.00
-2739.00,-1249.00,11147.00,-2264.00,4370.00,-1368.00
-2599.00,1010.00,10890.00,-2487.00,2433.00,-1835.00
247.00,2525.00,8142.00,-2314.00,1462.00,-2185.00
969.00,1848.00,7239.00,-1418.00,1811.00,-2127.00
538.00,443.00,7627.00,-788.00,2544.00,-2005.00
158.00,-71.00,8256.00,384.00,3620.00,-2205.00
-1220.00,739.00,8734.00,753.00,3700.00,-2285.00
-974.00,1530.00,8200.00,993.00,3353.00,-2386.00
-421.00,2095.00,7623.00,1669.00,2819.00,-2766.00
134.00,1402.00,7388.00,2074.00,2955.00,-2740.00
552.00,136.00,7917.00,2576.00,3427.00,-2035.00
364.00,-1272.00,9470.00,2656.00,3609.00,-1541.00
-419.00,-694.00,9872.00,2607.00,3552.00,-1117.00
-1195.00,336.00,9819.00,2235.00,2188.00,-921.00
-1232.00,2370.00,8325.00,2038.00,1063.00,-947.00
-385.00,2321.00,7359.00,1915.00,-1010.00,-699.00
1383.00,296.00,7177.00,2150.00,-1484.00,-471.00
1572.00,-775.00,7928.00,2482.00,-1479.00,-153.00
1230.00,-1562.00,8927.00,2628.00,-1264.00,619.00
659.00,-731.00,10006.00,2330.00,-1704.00,846.00
691.00,-376.00,9751.00,1637.00,-2985.00,1155.00
478.00,-481.00,8534.00,1535.00,-3260.00,1305.00
625.00,-545.00,8048.00,1581.00,-3106.00,1397.00
845.00,-555.00,8057.00,1669.00,-1942.00,1615.00
1436.00,-1179.00,8989.00,1563.00,-1433.00,1851.00
1882.00,-1572.00,9319.00,919.00,-1190.00,2344.00
2150.00,-1404.00,9309.00,455.00,-1360.00,2532.00
1275.00,-812.00,9162.00,-226.00,-1558.00,2775.00
206.00,-79.00,8878.00,-394.00,-1524.00,2704.00
-176.00,461.00,8137.00,-483.00,-1390.00,2596.00
399.00,281.00,8026.00,-626.00,-878.00,2760.00
1307.00,-132.00,8770.00,-755.00,-651.00,2980.00
679.00,-285.00,9228.00,-1230.00,-438.00,3004.00
-2054.00,-83.00,9789.00,-1601.00,-365.00,2695.00
-2725.00,94.00,9774.00,-1978.00,-146.00,2306.00
-2572.00,196.00,9508.00,-2400.00,775.00,1538.00
-1049.00,-913.00,8729.00,-2500.00,1249.00,1148.00
-526.00,-1968.00,8689.00,-2735.00,2199.00,811.00
-2487.00,-2034.00,9510.00,-2856.00,2556.00,800.00
-4169.00,110.00,9739.00,-2987.00,2369.00,642.00
-4458.00,2371.00,9087.00,-3292.00,470.00,-428.00
-2049.00,3299.00,6908.00,-3209.00,-45.00,-981.00
-764.00,2101.00,6416.00,-2268.00,1007.00,-1320.00
9.00,-1076.00,7551.00,-1664.00,1843.00,-1256.00
-548.00,-1819.00,8942.00,-1192.00,2291.00,-1275.00
-1175.00,-1129.00,9835.00,-913.00,762.00,-1585.00
283.00,1484.00,7859.00,-1130.00,-742.00,-1536.00
889.00,1192.00,6690.00,-996.00,-1909.00,-1441.00
-131.00,-545.00,6236.00,-484.00,-1413.00,-1570.00
-295.00,-1518.00,7273.00,418.00,424.00,-1572.00
609.00,-2375.00,9582.00,643.00,1163.00,-1398.00
